ID;ATENCION DE PERSONAL;COBRO;COCCION;COMPROBANTE DE PAGO;PRESENTACION;PRODUCTO EQUIVOCADO;PRODUCTO FALTANTE;PUBLICIDAD;SABOR;SALUBRIDAD;STOCK;TEMPERATURA;TIEMPO DE ESPERA;CÓDIGO INCIDENCIA
2178099106;0;0;0;0;0;1;0;0;0;0;0;0;0;0000010000000
#19260291-04;0;0;0;0;0;0;0;0;0;0;0;0;1;0000000000001
4626;0;0;0;0;0;0;1;0;0;0;0;0;0;0000001000000
3569;0;0;0;0;1;0;0;0;0;0;0;0;0;0000100000000
3811;0;0;0;0;1;0;0;0;0;0;0;0;0;0000100000000
2807;0;0;0;0;1;0;0;0;0;0;0;0;0;0000100000000
3100;0;0;0;0;1;0;0;0;0;0;0;0;0;0000100000000
2885;0;0;0;0;1;0;0;0;0;0;0;0;0;0000100000000
2344;0;0;0;0;1;0;0;0;0;0;0;0;0;0000100000000
4480;0;0;0;0;1;0;0;0;0;0;0;0;0;0000100000000
4386;0;0;0;0;1;0;0;0;0;0;0;0;0;0000100000000
2314;0;0;0;0;1;0;0;0;0;0;0;0;0;0000100000000
3500;0;0;0;0;1;0;0;0;0;0;0;0;0;0000100000000
4041;0;0;0;0;1;0;0;0;0;0;0;0;0;0000100000000
4521;0;0;0;0;1;0;0;0;0;0;0;0;0;0000100000000
3146;0;0;0;0;0;0;1;0;0;0;0;0;0;0000001000000
5764636153609257164	;0;0;0;0;1;0;0;0;0;0;0;0;0;0000100000000
2197542496;0;0;0;0;0;0;1;0;0;0;0;0;0;0000001000000
4129;0;0;0;0;1;0;0;0;0;0;0;0;0;0000100000000
4085;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
2174251400;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
2264;1;0;0;0;0;0;0;0;0;0;0;0;0;1000000000000
2189196869;0;0;0;0;0;0;1;0;0;0;0;0;0;0000001000000
2198729005;0;0;0;0;0;0;1;0;0;0;0;0;0;0000001000000
4172;1;0;0;0;0;0;0;0;0;0;0;0;0;1000000000000
2665;1;0;0;0;0;0;0;0;0;0;0;0;0;1000000000000
5764628582085231104	;0;0;0;0;1;0;0;0;0;0;0;0;0;0000100000000
2194535037;0;0;0;0;0;0;1;0;0;0;0;0;0;0000001000000
3328;0;0;0;0;1;0;0;0;0;0;0;0;0;0000100000000
2438;0;0;0;0;1;0;0;0;0;0;0;0;0;0000100000000
3992;0;0;0;0;0;0;0;0;1;0;0;0;0;0000000010000
4114;0;0;0;0;1;0;0;0;0;0;0;0;0;0000100000000
4219;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
3093;0;0;0;0;0;0;1;0;0;0;0;0;0;0000001000000
4136;0;0;0;0;1;0;0;0;0;0;0;0;0;0000100000000
2189622954;0;0;0;0;0;0;1;0;0;0;0;0;0;0000001000000
#18966542-01;0;0;0;0;0;0;0;0;0;0;0;0;1;0000000000001
3820;0;0;0;0;1;0;0;0;0;0;0;0;0;0000100000000
2174906015;0;0;0;0;0;1;0;0;0;0;0;0;0;0000010000000
4279;0;0;0;0;0;0;0;0;0;1;0;0;0;0000000001000
3528;0;0;0;0;0;0;1;0;0;0;0;0;0;0000001000000
3017;0;0;0;0;0;0;1;0;0;0;0;0;0;0000001000000
2204;0;0;0;0;0;0;0;0;0;0;0;0;1;0000000000001
2459;0;0;0;0;1;0;0;0;0;0;0;0;0;0000100000000
2812;0;0;0;0;0;0;0;0;1;0;0;0;0;0000000010000
2248;0;0;0;0;0;0;0;0;0;0;0;0;1;0000000000001
4625;1;0;0;0;0;0;0;0;0;0;0;0;0;1000000000000
2221;0;1;0;0;0;0;0;0;0;0;0;0;0;0100000000000
2193773091;0;0;0;0;0;0;1;0;0;0;0;0;0;0000001000000
2219;0;0;0;0;0;0;0;0;0;1;0;0;0;0000000001000
4595;1;0;0;0;0;0;0;0;0;0;0;0;0;1000000000000
4260;1;0;0;0;0;0;0;0;0;0;0;0;0;1000000000000
3217;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
2418;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
2775;0;0;0;0;0;0;0;0;1;0;0;0;0;0000000010000
3349;1;0;0;0;0;0;0;0;0;0;0;0;0;1000000000000
2173781074;0;0;0;0;0;0;1;0;0;0;0;0;0;0000001000000
2196080703;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
3902;0;0;0;0;1;0;0;0;0;0;0;0;0;0000100000000
2468;0;0;0;0;1;0;0;0;0;0;0;0;0;0000100000000
2596;0;0;0;0;1;0;0;0;0;0;0;0;0;0000100000000
2902;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
2186388952;0;0;0;0;0;0;1;0;0;0;0;0;0;0000001000000
2178506554;0;0;0;0;0;0;0;0;0;1;0;0;0;0000000001000
2707;1;0;0;0;0;0;0;0;0;0;0;0;0;1000000000000
4515;0;0;0;0;0;1;0;0;0;0;0;0;0;0000010000000
3266;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
